ID,burn_area
0_2014-01-01,0
1_2014-01-01,0
2_2014-01-01,0
3_2014-01-01,0
4_2014-01-01,0
5_2014-01-01,0
6_2014-01-01,0
7_2014-01-01,0
8_2014-01-01,0
9_2014-01-01,0
10_2014-01-01,0
11_2014-01-01,0
12_2014-01-01,0
13_2014-01-01,0
14_2014-01-01,0
15_2014-01-01,0
16_2014-01-01,0
17_2014-01-01,0
18_2014-01-01,0
19_2014-01-01,0
20_2014-01-01,0
21_2014-01-01,0
22_2014-01-01,0
23_2014-01-01,0
24_2014-01-01,0
25_2014-01-01,0
26_2014-01-01,0
27_2014-01-01,0
28_2014-01-01,0
29_2014-01-01,0
30_2014-01-01,0
31_2014-01-01,0
32_2014-01-01,0
33_2014-01-01,0
34_2014-01-01,0
35_2014-01-01,0
36_2014-01-01,0
37_2014-01-01,0
38_2014-01-01,0
39_2014-01-01,0
40_2014-01-01,0
41_2014-01-01,0
42_2014-01-01,0
43_2014-01-01,0
44_2014-01-01,0
45_2014-01-01,0
46_2014-01-01,0
47_2014-01-01,0
48_2014-01-01,0
49_2014-01-01,0
50_2014-01-01,0
51_2014-01-01,0
52_2014-01-01,0
53_2014-01-01,0
54_2014-01-01,0
55_2014-01-01,0
56_2014-01-01,0
57_2014-01-01,0
58_2014-01-01,0
59_2014-01-01,0
60_2014-01-01,0
61_2014-01-01,0
62_2014-01-01,0
63_2014-01-01,0
64_2014-01-01,0
65_2014-01-01,0
66_2014-01-01,0
67_2014-01-01,0
68_2014-01-01,0
69_2014-01-01,0
70_2014-01-01,0
71_2014-01-01,0
72_2014-01-01,0
73_2014-01-01,0
74_2014-01-01,0
75_2014-01-01,0
76_2014-01-01,0
77_2014-01-01,0
78_2014-01-01,0
79_2014-01-01,0
80_2014-01-01,0
81_2014-01-01,0
82_2014-01-01,0
83_2014-01-01,0
84_2014-01-01,0
85_2014-01-01,0
86_2014-01-01,0
87_2014-01-01,0
88_2014-01-01,0
89_2014-01-01,0
90_2014-01-01,0
91_2014-01-01,0
92_2014-01-01,0
93_2014-01-01,0
94_2014-01-01,0
95_2014-01-01,0
96_2014-01-01,0
97_2014-01-01,0
98_2014-01-01,0
99_2014-01-01,0
100_2014-01-01,0
101_2014-01-01,0
102_2014-01-01,0
103_2014-01-01,0
104_2014-01-01,0
105_2014-01-01,0
106_2014-01-01,0
107_2014-01-01,0
108_2014-01-01,0
109_2014-01-01,0
110_2014-01-01,0
111_2014-01-01,0
112_2014-01-01,0
113_2014-01-01,0
114_2014-01-01,0
115_2014-01-01,0
116_2014-01-01,0
117_2014-01-01,0
118_2014-01-01,0
119_2014-01-01,0
120_2014-01-01,0
121_2014-01-01,0
122_2014-01-01,0
123_2014-01-01,0
124_2014-01-01,0
125_2014-01-01,0
126_2014-01-01,0
127_2014-01-01,0
128_2014-01-01,0
129_2014-01-01,0
130_2014-01-01,0
131_2014-01-01,0
132_2014-01-01,0
133_2014-01-01,0
134_2014-01-01,0
135_2014-01-01,0
136_2014-01-01,0
137_2014-01-01,0
138_2014-01-01,0
139_2014-01-01,0
140_2014-01-01,0
141_2014-01-01,0
142_2014-01-01,0
143_2014-01-01,0
144_2014-01-01,0
145_2014-01-01,0
146_2014-01-01,0
147_2014-01-01,0
148_2014-01-01,0
149_2014-01-01,0
150_2014-01-01,0
151_2014-01-01,0
152_2014-01-01,0
153_2014-01-01,0
154_2014-01-01,0
155_2014-01-01,0
156_2014-01-01,0
157_2014-01-01,0
158_2014-01-01,0
159_2014-01-01,0
160_2014-01-01,0
161_2014-01-01,0
162_2014-01-01,0
163_2014-01-01,0
164_2014-01-01,0
165_2014-01-01,0
166_2014-01-01,0
167_2014-01-01,0
168_2014-01-01,0
169_2014-01-01,0
170_2014-01-01,0
171_2014-01-01,0
172_2014-01-01,0
173_2014-01-01,0
174_2014-01-01,0
175_2014-01-01,0
176_2014-01-01,0
177_2014-01-01,0
178_2014-01-01,0
