iter	Passed	Remaining
0	120	60019
1	222	55444
2	339	56263
3	448	55618
4	547	54199
5	646	53229
6	743	52337
7	841	51758
8	943	51465
9	1043	51142
10	1143	50819
11	1243	50558
12	1343	50342
13	1445	50193
14	1543	49911
15	1640	49620
16	1762	50067
17	1865	49945
18	1970	49885
19	2070	49700
20	2170	49507
21	2270	49342
22	2369	49140
23	2475	49100
24	2580	49028
25	2670	48694
26	2763	48412
27	2857	48170
28	2948	47889
29	3040	47626
30	3131	47370
31	3225	47173
32	3314	46908
33	3405	46674
34	3495	46437
35	3586	46230
36	3677	46016
37	3772	45863
38	3865	45689
39	3954	45478
40	4043	45264
41	4137	45117
42	4229	44954
43	4320	44780
44	4411	44607
45	4502	44435
46	4595	44294
47	4704	44303
48	4803	44211
49	4903	44132
50	4998	44008
51	5111	44041
52	5224	44062
53	5318	43924
54	5406	43743
55	5501	43618
56	5601	43536
57	5708	43502
58	5804	43386
59	5894	43227
60	5986	43086
61	6077	42937
62	6169	42793
63	6280	42788
64	6412	42916
65	6564	43169
66	6678	43160
67	6796	43175
68	6888	43028
69	6985	42908
70	7075	42754
71	7169	42619
72	7261	42477
73	7364	42396
74	7493	42463
75	7628	42560
76	7750	42575
77	7864	42550
78	7969	42469
79	8080	42424
80	8194	42387
81	8309	42359
82	8442	42418
83	8579	42488
84	8728	42616
85	8867	42689
86	9034	42887
87	9162	42896
88	9291	42909
89	9400	42825
90	9503	42715
91	9602	42586
92	9700	42454
93	9811	42376
94	9914	42267
95	10020	42170
96	10127	42075
97	10224	41939
98	10320	41802
99	10411	41646
100	10504	41497
101	10593	41337
102	10689	41201
103	10785	41067
104	10880	40929
105	10975	40794
106	11070	40661
107	11163	40521
108	11255	40375
109	11351	40245
110	11444	40107
111	11540	39979
112	11634	39846
113	11727	39707
114	11820	39574
115	11911	39431
116	12006	39302
117	12100	39173
118	12192	39037
119	12286	38907
120	12379	38774
121	12473	38647
122	12567	38520
123	12661	38391
124	12752	38256
125	12840	38114
126	12935	37990
127	13028	37864
128	13131	37765
129	13221	37629
130	13311	37495
131	13405	37372
132	13494	37235
133	13584	37104
134	13674	36971
135	13763	36838
136	13855	36710
137	13943	36575
138	14033	36445
139	14125	36322
140	14218	36201
141	14310	36078
142	14400	35952
143	14490	35824
144	14582	35703
145	14674	35580
146	14765	35457
147	14857	35335
148	14952	35223
149	15049	35115
150	15139	34990
151	15231	34872
152	15321	34748
153	15412	34629
154	15504	34509
155	15596	34392
156	15689	34276
157	15778	34153
158	15868	34033
159	15959	33913
160	16052	33799
161	16145	33687
162	16239	33575
163	16327	33451
164	16417	33332
165	16506	33212
166	16600	33101
167	16693	32988
168	16787	32878
169	16876	32760
170	16969	32648
171	17059	32531
172	17150	32417
173	17241	32303
174	17330	32185
175	17419	32068
